clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 142326	567.288	29.12	29.37	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142328	569.336	29.18	29.37	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142330	571.383	29.24	29.35	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142332	573.427	29.28	29.33	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142335	575.479	29.34	29.33	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142337	577.523	29.37	29.31	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142339	579.574	29.44	29.3	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142341	581.622	29.5	29.29	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142343	583.669	29.53	29.27	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142345	585.717	29.59	29.27	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142347	587.764	29.62	29.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142349	589.812	29.68	29.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142351	591.86	29.75	29.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142353	593.907	29.78	29.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142355	595.955	29.84	29.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142357	598.004	29.87	29.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142359	600.05	29.94	29.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142401	602.098	30.0	29.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142403	604.145	30.03	29.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142405	606.187	30.09	29.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142407	608.24	30.13	29.17	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142409	610.288	30.19	29.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142411	612.329	30.25	29.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142413	614.383	30.28	29.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142415	616.431	30.35	29.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142418	618.478	30.38	29.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142420	620.526	30.44	29.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142422	622.574	30.5	29.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142424	624.616	30.53	29.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142426	626.669	30.6	29.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142428	628.709	30.63	29.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142430	630.764	30.69	29.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142432	632.812	30.75	29.09	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142434	634.852	30.78	29.09	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142436	636.9	30.84	29.09	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142438	638.948	30.87	29.08	30.0	1	0.0	0.0	0.5	0.0	0.0
