clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 134445	303.055	32.44	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134447	305.105	32.41	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134449	307.15	32.39	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134451	309.2	32.36	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134454	311.248	32.33	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134456	313.295	32.32	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134458	315.343	32.29	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134500	317.385	32.27	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134502	319.438	32.24	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134504	321.486	32.21	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134506	323.548	32.19	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134508	325.596	32.16	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134510	327.645	32.15	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134512	329.692	32.12	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134514	331.74	32.09	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134516	333.788	32.07	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134518	335.835	32.04	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134520	337.881	32.03	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134522	339.93	32.0	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134524	341.97	31.97	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134526	344.026	31.95	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134528	346.073	31.92	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134530	348.121	31.91	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134532	350.169	31.88	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134535	352.216	31.85	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134537	354.264	31.83	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134539	356.311	31.8	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134541	358.359	31.79	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134543	360.406	31.76	31.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134545	362.454	31.73	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134547	364.502	31.71	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134549	366.549	31.68	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134551	368.597	31.67	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134553	370.644	31.64	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134555	372.692	31.61	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134557	374.739	31.59	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134559	376.787	31.56	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134601	378.829	31.55	31.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134603	380.882	31.52	31.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134605	382.926	31.49	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134607	384.972	31.48	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134609	387.025	31.45	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134611	389.072	31.43	31.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134613	391.12	31.4	31.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134615	393.165	31.37	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134618	395.215	31.36	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134620	397.263	31.33	31.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134622	399.311	31.31	31.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134624	401.358	31.28	31.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134626	403.401	31.25	31.17	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134628	405.453	31.24	31.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134630	407.501	31.21	31.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134632	409.548	31.2	31.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134634	411.596	31.17	31.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134636	413.644	31.14	31.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134638	415.707	31.12	31.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134640	417.755	31.09	31.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134642	419.803	31.08	31.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134644	421.85	31.05	31.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134646	423.897	31.02	31.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134648	425.945	31.01	31.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134650	427.986	30.98	31.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134652	430.041	30.96	31.09	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134654	432.088	30.93	31.09	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134656	434.136	30.9	31.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134658	436.183	30.89	31.07	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134701	438.226	30.86	31.07	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134703	440.271	30.84	31.06	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134705	442.326	30.81	31.05	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134707	444.374	30.78	31.04	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134709	446.431	30.77	31.03	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134711	448.484	30.74	31.03	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134713	450.526	30.72	31.02	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134715	452.577	30.7	31.01	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134717	454.623	30.67	31.0	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134719	456.671	30.65	30.99	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134721	458.719	30.62	30.99	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134723	460.767	30.61	30.98	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134725	462.818	30.58	30.97	30.0	1	0.0	0.0	0.5	0.0	0.0
