clock	watch	T_int	T_ext	T_ref
20200713 225405	645.352	7.53	10.0	9.511
20200713 225407	647.478	7.51	9.99	9.497
20200713 225409	649.606	7.5	9.98	9.49
20200713 225412	651.719	7.49	9.98	9.468
20200713 225414	653.845	7.48	9.97	9.461
20200713 225416	655.973	7.46	9.95	9.439
20200713 225418	658.099	7.44	9.95	9.418
20200713 225420	660.212	7.43	9.94	9.418
20200713 225422	662.341	7.41	9.92	9.404
20200713 225424	664.469	7.4	9.92	9.389
20200713 225426	666.594	7.39	9.91	9.368
20200713 225429	668.721	7.37	9.89	9.368
20200713 225431	670.848	7.35	9.89	9.354
20200713 225433	672.979	7.34	9.88	9.338
20200713 225435	675.102	7.32	9.87	9.324
20200713 225437	677.215	7.31	9.86	9.309
20200713 225439	679.346	7.3	9.85	9.295
20200713 225441	681.469	7.28	9.85	9.288
20200713 225443	683.6	7.26	9.83	9.273
20200713 225446	685.726	7.25	9.82	9.259
20200713 225448	687.853	7.23	9.82	9.244
20200713 225450	689.979	7.22	9.81	9.237
20200713 225452	692.109	7.21	9.8	9.223
20200713 225454	694.237	7.19	9.8	9.216
20200713 225456	696.36	7.17	9.79	9.201
20200713 225458	698.475	7.16	9.77	9.179
20200713 225500	700.599	7.15	9.77	9.165
20200713 225503	702.727	7.13	9.76	9.165
20200713 225505	704.843	7.12	9.74	9.151
20200713 225507	706.971	7.1	9.74	9.129
20200713 225509	709.096	7.08	9.73	9.129
20200713 225511	711.222	7.07	9.72	9.122
20200713 225513	713.353	7.06	9.72	9.107
20200713 225515	715.476	7.04	9.7	9.086
20200713 225517	717.588	7.03	9.68	9.071
20200713 225520	719.716	7.01	9.68	9.064
20200713 225522	721.844	7.0	9.66	9.042
20200713 225524	723.969	6.99	9.65	9.035
20200713 225526	726.085	6.97	9.64	9.021
20200713 225528	728.209	6.95	9.63	9.006
20200713 225530	730.32	6.94	9.61	8.999
20200713 225532	732.433	6.92	9.61	8.984
20200713 225534	734.561	6.91	9.6	8.977
20200713 225537	736.688	6.9	9.58	8.963
20200713 225539	738.798	6.88	9.58	8.948
20200713 225541	740.909	6.86	9.56	8.927
20200713 225543	743.041	6.85	9.55	8.912
20200713 225545	745.165	6.84	9.55	8.898
20200713 225547	747.276	6.83	9.54	8.898
20200713 225549	749.387	6.81	9.53	8.875
20200713 225551	751.502	6.8	9.52	8.861
20200713 225553	753.632	6.79	9.51	8.861
20200713 225556	755.757	6.77	9.5	8.839
20200713 225558	757.885	6.75	9.5	8.824
20200713 225600	760.014	6.74	9.49	8.817
20200713 225602	762.136	6.72	9.47	8.802
20200713 225604	764.248	6.71	9.47	8.795
20200713 225606	766.359	6.7	9.46	8.78
20200713 225608	768.472	6.68	9.46	8.773
20200713 225610	770.585	6.66	9.45	8.751
20200713 225613	772.71	6.65	9.43	8.751
20200713 225615	774.822	6.64	9.43	8.737
20200713 225617	776.933	6.62	9.41	8.715
20200713 225619	779.048	6.61	9.39	8.715
20200713 225621	781.173	6.59	9.39	8.693
20200713 225623	783.304	6.58	9.38	8.671
20200713 225625	785.428	6.57	9.36	8.671
20200713 225627	787.557	6.55	9.36	8.656
20200713 225630	789.686	6.53	9.35	8.649
20200713 225632	791.81	6.53	9.33	8.635
20200713 225634	793.922	6.51	9.33	8.62
20200713 225636	796.048	6.49	9.32	8.605
20200713 225638	798.162	6.48	9.31	8.598
20200713 225640	800.286	6.46	9.31	8.583
20200713 225642	802.414	6.45	9.3	8.562
20200713 225644	804.526	6.44	9.29	8.554
20200713 225646	806.637	6.42	9.29	8.54
20200713 225649	808.75	6.41	9.27	8.54
20200713 225651	810.882	6.4	9.26	8.518
20200713 225653	813.006	6.38	9.25	8.503
20200713 225655	815.136	6.38	9.24	8.496
20200713 225657	817.264	6.36	9.22	8.481
20200713 225659	819.391	6.34	9.22	8.467
20200713 225701	821.519	6.33	9.2	8.459
20200713 225703	823.644	6.32	9.19	8.445
20200713 225706	825.769	6.3	9.18	8.43
20200713 225708	827.882	6.29	9.17	8.423
20200713 225710	830.024	6.28	9.16	8.407
20200713 225712	832.135	6.26	9.15	8.393
20200713 225714	834.248	6.25	9.14	8.385
20200713 225716	836.377	6.23	9.13	8.371
20200713 225718	838.505	6.22	9.13	8.356
20200713 225720	840.634	6.21	9.11	8.349
20200713 225723	842.761	6.19	9.11	8.326
20200713 225725	844.888	6.18	9.09	8.319
20200713 225727	847.014	6.17	9.08	8.304
20200713 225729	849.141	6.15	9.07	8.297
20200713 225731	851.266	6.13	9.06	8.275
20200713 225733	853.378	6.13	9.05	8.267
20200713 225735	855.491	6.11	9.05	8.253
20200713 225737	857.62	6.09	9.04	8.245
20200713 225740	859.749	6.09	9.02	8.231
20200713 225742	861.872	6.07	9.02	8.216
20200713 225744	864.001	6.05	9.01	8.209
20200713 225746	866.127	6.04	8.99	8.194
20200713 225748	868.243	6.03	8.99	8.179
20200713 225750	870.367	6.01	8.97	8.172
20200713 225752	872.481	6.0	8.96	8.157
20200713 225754	874.605	5.99	8.96	8.142
20200713 225757	876.717	5.97	8.94	8.135
20200713 225759	878.828	5.96	8.93	8.113
20200713 225801	880.959	5.94	8.92	8.105
20200713 225803	883.087	5.93	8.91	8.091
20200713 225805	885.212	5.92	8.89	8.083
20200713 225807	887.339	5.9	8.89	8.076
20200713 225809	889.451	5.89	8.88	8.061
20200713 225811	891.578	5.88	8.87	8.047
20200713 225814	893.709	5.86	8.86	8.039
20200713 225816	895.837	5.84	8.85	8.024
20200713 225818	897.965	5.84	8.83	8.01
20200713 225820	900.089	5.82	8.83	8.002
20200713 225822	902.215	5.8	8.82	7.98
20200713 225824	904.331	5.8	8.81	7.973
20200713 225826	906.453	5.78	8.8	7.966
20200713 225828	908.564	5.77	8.79	7.943
20200713 225831	910.678	5.76	8.77	7.928
20200713 225833	912.804	5.74	8.77	7.928
20200713 225835	914.918	5.73	8.76	7.905
20200713 225837	917.047	5.71	8.75	7.898
20200713 225839	919.173	5.7	8.75	7.883
20200713 225841	921.301	5.69	8.73	7.868
20200713 225843	923.427	5.67	8.72	7.861
20200713 225845	925.555	5.66	8.72	7.838
20200713 225848	927.685	5.65	8.71	7.838
20200713 225850	929.808	5.63	8.69	7.823
20200713 225852	931.921	5.62	8.68	7.808
20200713 225854	934.048	5.61	8.67	7.801
20200713 225856	936.158	5.59	8.66	7.794
20200713 225858	938.271	5.57	8.65	7.771
20200713 225900	940.386	5.57	8.64	7.764
20200713 225902	942.51	5.55	8.64	7.749
20200713 225904	944.639	5.53	8.63	7.742
20200713 225907	946.768	5.53	8.61	7.727
20200713 225909	948.894	5.51	8.61	7.712
20200713 225911	951.021	5.49	8.6	7.704
20200713 225913	953.15	5.48	8.59	7.682
20200713 225915	955.274	5.47	8.59	7.682
20200713 225917	957.389	5.45	8.57	7.667
20200713 225919	959.517	5.44	8.56	7.652
20200713 225921	961.644	5.43	8.55	7.637
20200713 225924	963.769	5.41	8.54	7.63
20200713 225926	965.895	5.4	8.52	7.615
20200713 225928	968.006	5.39	8.52	7.608
20200713 225930	970.119	5.37	8.51	7.593
20200713 225932	972.25	5.36	8.49	7.578
20200713 225934	974.378	5.34	8.49	7.57
20200713 225936	976.505	5.33	8.48	7.555
20200713 225938	978.633	5.32	8.47	7.548
20200713 225941	980.76	5.3	8.47	7.541
20200713 225943	982.884	5.29	8.45	7.526
20200713 225945	984.997	5.28	8.44	7.503
20200713 225947	987.14	5.26	8.43	7.496
20200713 225949	989.27	5.25	8.42	7.489
20200713 225951	991.396	5.24	8.4	7.466
20200713 225953	993.523	5.22	8.39	7.458
20200713 225955	995.651	5.21	8.38	7.443
20200713 225958	997.779	5.2	8.37	7.435
20200713 230000	999.905	5.18	8.37	7.42
20200713 230002	1002.033	5.17	8.36	7.405
20200713 230004	1004.161	5.16	8.34	7.397
20200713 230006	1006.287	5.14	8.34	7.382
20200713 230008	1008.415	5.13	8.33	7.375
